"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2158","String Assertions - Text matching","chromium","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","883","get started link","firefox","2026-09-10","passed","2026-09-10","","example.spec.ts","",""
"","3385","Promise-based Assertions","chromium","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","5854","toBeFocused() - Element is focused","firefox","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","3066","toBeHidden() - Element is hidden from the viewport","firefox","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","2459","toBeFocused() - Element is focused","webkit","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","10042","test","webkit","2026-09-10","passed","2026-09-10","","locator.spec.ts","",""
"","8362","work with the iframe on the practice page","webkit","2026-09-10","passed","2026-09-10","","iframe.spec.ts","",""
"","3807","Soft Assertions - Continue testing after failure","firefox","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","16134","login to OrangeHRM","chromium","2026-09-10","passed","2026-09-10","","orange.spec.ts","",""
"","4649","toBeInViewport() - Element is visible in viewport","firefox","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","3169","test","webkit","2026-09-10","passed","2026-09-10","","google.spec.ts","",""
"","2254","toHaveTitle() - Page has specific title","webkit","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","2265","String Assertions - Text matching","webkit","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","2817","toBeVisible() - Element is visible on the page","firefox","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","2421","toBeEditable() - Input field is editable","webkit","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","11356","login to OrangeHRM","webkit","2026-09-10","passed","2026-09-10","","orange.spec.ts","",""
"","2245","toBeChecked() - Checkbox or radio is checked","webkit","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","11127","the iframe itself is visible on the main page","webkit","2026-09-10","passed","2026-09-10","iframe, handling ","frame.spec.ts","",""
"","2861","Array/Collection Assertions","webkit","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","7819","open a new tab and switch to it","webkit","2026-09-10","passed","2026-09-10","","iframe.spec.ts","",""
"","14110","test","webkit","2026-09-10","passed","2026-09-10","",".spec.ts","",""
"","258","has title","chromium","2026-09-10","passed","2026-09-10","","example.spec.ts","",""
"","3619","toBeEditable() - Input field is editable","firefox","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","2653","toBeChecked() - Checkbox or radio is checked","chromium","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","459","Test on multiple browsers","chromium","2026-09-10","passed","2026-09-10","","multiple.spec.ts","",""
"","30027","autowait with explicit delay","webkit","2026-09-10","broken","2026-09-10","","Autowait.spec.ts","",""
"","4622","toBeDisabled() - Disabled element check","chromium","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","2310","Numeric Assertions - Compare values","webkit","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","2524","Assertions with Custom Timeout","firefox","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","3367","Array/Collection Assertions","chromium","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","13219","login to OrangeHRM","firefox","2026-09-10","passed","2026-09-10","","orange.spec.ts","",""
"","30040","autowait with explicit delay","firefox","2026-09-10","broken","2026-09-10","","Autowait.spec.ts","",""
"","2618","Soft Assertions - Continue testing after failure","webkit","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","4515","toBeEmpty() - Input field is empty","chromium","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","7893","test","firefox","2026-09-10","passed","2026-09-10","",".spec.ts","",""
"","3789","toBeHidden() - Element is hidden from the viewport","webkit","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","4219","toHaveClass() - Element has specific CSS class","firefox","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","16930","test","chromium","2026-09-10","passed","2026-09-10","",".spec.ts","",""
"","817","has title","webkit","2026-09-10","passed","2026-09-10","","example.spec.ts","",""
"","2556","Numeric Assertions - Compare values","chromium","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","4489","toContainText() - Element contains specific text","webkit","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","5046","work with the iframe on the practice page","firefox","2026-09-10","passed","2026-09-10","","iframe.spec.ts","",""
"","3603","toHaveText() - Element has exact text content","webkit","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","2174","get started link","webkit","2026-09-10","passed","2026-09-10","","example.spec.ts","",""
"","3213","toBeFocused() - Element is focused","chromium","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","2548","Negation Assertions - Not assertions","webkit","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","5949","toHaveText() - Element has exact text content","chromium","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","975","test","firefox","2026-09-10","passed","2026-09-10","","google.spec.ts","",""
"","4651","Negation Assertions - Not assertions","chromium","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","3544","toHaveValue() - Input field has specific value","webkit","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","507","has title","firefox","2026-09-10","passed","2026-09-10","","example.spec.ts","",""
"","2590","toBeDisabled() - Disabled element check","webkit","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","979","navigate to google","webkit","2026-09-10","passed","2026-09-10","","browserdemo.spec.ts","",""
"","3143","toHaveCount() - Verify number of elements","firefox","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","4316","toBeEnabled() - Button is enabled","firefox","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","9160","toHaveAttribute() - Element has specific attribute","firefox","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","7343","Complete Login Test - Multiple Assertions","webkit","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","4492","Promise-based Assertions","webkit","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","9699","the iframe itself is visible on the main page","firefox","2026-09-10","passed","2026-09-10","iframe, handling ","frame.spec.ts","",""
"","2608","toBeInViewport() - Element is visible in viewport","webkit","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","3383","Assertions with Custom Timeout","chromium","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","2288","toBeChecked() - Checkbox or radio is checked","firefox","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","30025","autowait with explicit delay","chromium","2026-09-10","broken","2026-09-10","","Autowait.spec.ts","",""
"","4254","Promise-based Assertions","firefox","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","5910","open a new tab and switch to it","firefox","2026-09-10","passed","2026-09-10","","iframe.spec.ts","",""
"","2984","toBeInViewport() - Element is visible in viewport","chromium","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","4861","work with the iframe on the practice page","chromium","2026-09-10","passed","2026-09-10","","iframe.spec.ts","",""
"","8254","toBeVisible() - Element is visible on the page","chromium","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","2741","toBeDisabled() - Disabled element check","firefox","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","3344","Numeric Assertions - Compare values","firefox","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","3006","Array/Collection Assertions","firefox","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","9520","toHaveURL() - Page has specific URL","chromium","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","2655","toContainText() - Element contains specific text","firefox","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","7610","toHaveAttribute() - Element has specific attribute","webkit","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","3434","toHaveValue() - Input field has specific value","firefox","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","5982","toHaveClass() - Element has specific CSS class","chromium","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","2518","toHaveCount() - Verify number of elements","webkit","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","2685","toBeEnabled() - Button is enabled","webkit","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","2602","toHaveText() - Element has exact text content","firefox","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","7720","Complete Login Test - Multiple Assertions","chromium","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","8604","toHaveURL() - Page has specific URL","firefox","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","3476","toHaveTitle() - Page has specific title","firefox","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","7010","toBeHidden() - Element is hidden from the viewport","chromium","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","4237","Negation Assertions - Not assertions","firefox","2026-09-10","passed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","767","Test on multiple browsers","webkit","2026-09-10","passed","2026-09-10","","multiple.spec.ts","",""
"","485","navigate to google","chromium","2026-09-10","passed","2026-09-10","","browserdemo.spec.ts","",""
"","1823","navigate to google","firefox","2026-09-10","passed","2026-09-10","","browserdemo.spec.ts","",""
"","632","test","chromium","2026-09-10","passed","2026-09-10","","google.spec.ts","",""
"","6752","test","firefox","2026-09-10","passed","2026-09-10","","locator.spec.ts","",""
"","9744","toHaveAttribute() - Element has specific attribute","chromium","2026-09-10","failed","2026-09-10","Comprehensive Playwright Assertions Examples","Assertions.spec.ts","",""
"","5901","open a new tab and switch to it","chromium","2026-09-10","passed","2026-09-10","","iframe.spec.ts","",""
